# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 508K of event 'cycles'
# Event count (approx.): 249210653757
#
# Overhead  Command  Shared Object        Symbol                                        
# ........  .......  ...................  ..............................................
#
     1.86%  server   libc-2.19.so         [.] 0x000000000007fd78                        
     1.66%  server   [kernel.kallsyms]    [k] _raw_spin_lock_irqsave                    
     1.65%  server   [kernel.kallsyms]    [k] copy_msghdr_from_user                     
     1.58%  server   [kernel.kallsyms]    [k] _raw_spin_lock                            
     1.49%  server   [kernel.kallsyms]    [k] sys_epoll_ctl                             
     1.45%  server   [kernel.kallsyms]    [k] __fget                                    
     1.44%  server   [kernel.kallsyms]    [k] copy_user_enhanced_fast_string            
     1.19%  server   [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath          
     1.19%  server   libpthread-2.19.so   [.] 0x000000000000b7ee                        
     1.06%  server   [kernel.kallsyms]    [k] try_to_wake_up                            
     0.97%  server   [kernel.kallsyms]    [k] mutex_spin_on_owner.isra.3                
     0.93%  server   libpthread-2.19.so   [.] 0x000000000000a47a                        
     0.91%  server   libc-2.19.so         [.] 0x00000000000827c4                        
     0.71%  server   libc-2.19.so         [.] 0x0000000000082794                        
     0.71%  server   libc-2.19.so         [.] 0x000000000007fd6e                        
     0.69%  server   [kernel.kallsyms]    [k] kmem_cache_free                           
     0.69%  server   [kernel.kallsyms]    [k] tcp_ack                                   
     0.68%  server   libc-2.19.so         [.] 0x000000000014021e                        
     0.65%  server   [kernel.kallsyms]    [k] _raw_spin_lock_bh                         
     0.62%  server   [kernel.kallsyms]    [k] kfree                                     
     0.62%  server   [kernel.kallsyms]    [k] __udp4_lib_lookup                         
     0.62%  server   server               [.] 0x0000000000003b2c                        
     0.61%  server   [kernel.kallsyms]    [k] osq_lock                                  
     0.61%  server   server               [.] 0x0000000000003b11                        
     0.57%  server   libc-2.19.so         [.] 0x000000000007f4b6                        
     0.57%  server   [kernel.kallsyms]    [k] sock_poll                                 
     0.56%  server   libstdc++.so.6.0.21  [.] 0x00000000000c0064                        
     0.56%  server   [kernel.kallsyms]    [k] entry_SYSCALL_64_after_swapgs             
     0.56%  server   [kernel.kallsyms]    [k] __slab_free                               
     0.56%  server   [kernel.kallsyms]    [k] __inet_lookup_established                 
     0.55%  server   [kernel.kallsyms]    [k] entry_SYSCALL_64                          
     0.53%  server   [kernel.kallsyms]    [k] update_curr                               
     0.52%  server   [kernel.kallsyms]    [k] fib_table_lookup                          
     0.52%  server   [kernel.kallsyms]    [k] update_cfs_shares                         
     0.51%  server   [kernel.kallsyms]    [k] idle_cpu                                  
     0.51%  server   [kernel.kallsyms]    [k] cmpxchg_double_slab.isra.57               
     0.50%  server   [kernel.kallsyms]    [k] __local_bh_enable_ip                      
     0.50%  server   libc-2.19.so         [.] 0x000000000007fd7e                        
     0.50%  server   libpthread-2.19.so   [.] 0x000000000000a417                        
     0.50%  server   [kernel.kallsyms]    [k] _raw_spin_unlock_irqrestore               
     0.50%  server   [kernel.kallsyms]    [k] ___sys_recvmsg                            
     0.49%  server   [kernel.kallsyms]    [k] ep_send_events_proc                       
     0.48%  server   libc-2.19.so         [.] 0x000000000007f3d0                        
     0.47%  server   libc-2.19.so         [.] 0x000000000007e92e                        
     0.47%  server   libc-2.19.so         [.] 0x000000000007e825                        
     0.47%  server   [kernel.kallsyms]    [k] enqueue_entity                            
     0.46%  server   libc-2.19.so         [.] 0x000000000007f121                        
     0.46%  server   [kernel.kallsyms]    [k] __netif_receive_skb_core                  
     0.43%  server   libc-2.19.so         [.] 0x000000000007fef8                        
     0.40%  server   [kernel.kallsyms]    [k] fput                                      
     0.40%  server   server               [.] 0x0000000000007db5                        
     0.39%  server   [kernel.kallsyms]    [k] __skb_recv_datagram                       
     0.39%  server   [kernel.kallsyms]    [k] tcp_poll                                  
     0.39%  server   libc-2.19.so         [.] 0x000000000007efc2                        
     0.38%  server   [kernel.kallsyms]    [k] tcp_recvmsg                               
     0.36%  server   [kernel.kallsyms]    [k] udp_recvmsg                               
     0.36%  server   libc-2.19.so         [.] 0x000000000007e8c6                        
     0.36%  server   [kernel.kallsyms]    [k] select_idle_sibling                       
     0.34%  server   libc-2.19.so         [.] 0x000000000007f026                        
     0.34%  server   [kernel.kallsyms]    [k] futex_wake                                
     0.34%  server   [kernel.kallsyms]    [k] __ip_make_skb                             
     0.34%  server   [kernel.kallsyms]    [k] __ip_append_data.isra.42                  
     0.33%  server   [kernel.kallsyms]    [k] __dev_queue_xmit                          
     0.33%  server   [kernel.kallsyms]    [k] dst_release                               
     0.32%  server   [kernel.kallsyms]    [k] tcp_transmit_skb                          
     0.32%  server   [kernel.kallsyms]    [k] udp_sendmsg                               
     0.32%  server   [kernel.kallsyms]    [k] ip_finish_output2                         
     0.32%  server   libc-2.19.so         [.] 0x0000000000088aef                        
     0.32%  server   [kernel.kallsyms]    [k] effective_load.isra.40                    
     0.31%  server   [kernel.kallsyms]    [k] __slab_alloc                              
     0.31%  server   [kernel.kallsyms]    [k] enqueue_task_fair                         
     0.31%  server   [kernel.kallsyms]    [k] skb_release_data                          
     0.31%  server   [kernel.kallsyms]    [k] __do_softirq                              
     0.31%  server   [kernel.kallsyms]    [k] sock_def_readable                         
     0.31%  server   [kernel.kallsyms]    [k] __ip_route_output_key                     
     0.30%  server   [kernel.kallsyms]    [k] ip_rcv                                    
     0.30%  server   [kernel.kallsyms]    [k] select_task_rq_fair                       
     0.30%  server   [kernel.kallsyms]    [k] inet_csk_accept                           
     0.30%  server   [kernel.kallsyms]    [k] __fget_light                              
     0.30%  server   libc-2.19.so         [.] 0x0000000000082e10                        
     0.30%  server   [kernel.kallsyms]    [k] ksize                                     
     0.30%  server   server               [.] 0x0000000000008ca9                        
     0.29%  server   libc-2.19.so         [.] 0x0000000000082763                        
     0.29%  server   [kernel.kallsyms]    [k] __wake_up_common                          
     0.29%  server   libc-2.19.so         [.] 0x000000000007f179                        
     0.29%  server   [kernel.kallsyms]    [k] get_futex_key_refs.isra.12                
     0.29%  server   [kernel.kallsyms]    [k] kmem_cache_alloc                          
     0.28%  server   [kernel.kallsyms]    [k] futex_wait_setup                          
     0.28%  server   [kernel.kallsyms]    [k] ep_poll_callback                          
     0.28%  server   [kernel.kallsyms]    [k] kmem_cache_alloc_node                     
     0.27%  server   [kernel.kallsyms]    [k] inet_recvmsg                              
     0.27%  server   libc-2.19.so         [.] 0x0000000000082e2f                        
     0.27%  server   libc-2.19.so         [.] 0x000000000007f091                        
     0.26%  server   server               [.] 0x0000000000003988                        
     0.26%  server   [kernel.kallsyms]    [k] __alloc_skb                               
     0.26%  server   [kernel.kallsyms]    [k] tcp_v4_rcv                                
     0.26%  server   server               [.] 0x000000000000396b                        
     0.25%  server   [kernel.kallsyms]    [k] sock_def_write_space                      
     0.25%  server   [kernel.kallsyms]    [k] __enqueue_entity                          
     0.24%  server   libc-2.19.so         [.] 0x0000000000080489                        
     0.24%  server   server               [.] 0x0000000000006f6e                        
     0.24%  server   libc-2.19.so         [.] 0x000000000007ff35                        
     0.24%  server   [kernel.kallsyms]    [k] get_futex_key                             
     0.23%  server   [kernel.kallsyms]    [k] account_entity_enqueue                    
     0.23%  server   [kernel.kallsyms]    [k] native_write_msr_safe                     
     0.23%  server   [kernel.kallsyms]    [k] __kmalloc_node_track_caller               
     0.23%  server   [kernel.kallsyms]    [k] rb_insert_color                           
     0.23%  server   server               [.] 0x000000000000aee0                        
     0.23%  server   [kernel.kallsyms]    [k] do_futex                                  
     0.23%  server   [kernel.kallsyms]    [k] check_preempt_wakeup                      
     0.23%  server   [kernel.kallsyms]    [k] __udp4_lib_rcv                            
     0.22%  server   libc-2.19.so         [.] 0x0000000000140b18                        
     0.22%  server   [kernel.kallsyms]    [k] __sk_mem_reclaim                          
     0.21%  server   [kernel.kallsyms]    [k] sock_alloc_send_pskb                      
     0.21%  server   [kernel.kallsyms]    [k] cpuacct_charge                            
